query_idx,source,target,distance_km,latency_ms,reachable
0,2722,5789,6.405,4.025,1
1,6909,1333,-1.000,0.082,0
2,5320,5666,1.341,4.401,1
3,4351,4337,3.771,5.928,1
4,1133,3240,5.106,6.460,1
5,1133,726,-1.000,4.244,0
6,422,3337,3.105,4.353,1
7,6295,2425,3.666,6.714,1
8,4368,1038,3.156,6.574,1
9,5146,4730,1.377,4.114,1
10,149,409,2.352,4.173,1
11,7049,5247,2.164,3.902,1
12,6050,6821,7.042,6.323,1
13,1543,5,6.736,4.034,1
14,1321,7211,1.643,6.402,1
15,1332,4487,3.809,3.790,1
16,2211,4445,1.581,3.943,1
17,3813,51,1.572,5.803,1
18,3139,167,4.002,5.620,1
19,2116,3814,1.391,3.751,1
20,4446,2906,3.946,3.960,1
21,1013,339,3.011,3.876,1
22,2123,7077,1.513,5.782,1
23,2662,1691,9.479,3.734,1
24,3314,658,4.561,5.742,1
25,5706,4494,2.354,3.738,1
26,1451,2779,3.213,3.717,1
27,3737,7146,8.103,5.856,1
28,4305,3392,-1.000,5.558,0
29,337,6250,3.570,3.972,1
30,4415,4944,3.498,3.755,1
31,1239,3274,1.547,3.576,1
32,472,96,3.714,3.797,1
33,6896,6847,9.419,5.088,1
34,7018,4093,1.582,5.558,1
35,5875,2801,2.467,3.596,1
36,2213,116,3.528,3.862,1
37,709,1678,-1.000,5.359,0
38,4973,1751,-1.000,5.330,0
39,3199,4965,3.299,3.764,1
40,886,4433,2.323,3.431,1
41,3598,6055,1.314,3.758,1
42,249,1260,1.191,5.427,1
43,6608,2842,5.059,3.753,1
44,1880,1324,1.589,5.291,1
45,4815,5489,3.916,3.658,1
46,2265,3090,2.699,3.685,1
47,3779,1511,1.093,4.997,1
48,3973,4126,2.997,5.156,1
49,1343,227,4.020,3.652,1
50,7046,6121,2.726,3.562,1
51,5633,3268,0.819,3.642,1
52,6828,2871,2.919,4.998,1
53,6503,6734,1.179,5.146,1
54,4345,5285,1.373,3.619,1
55,6700,2373,7.590,3.523,1
56,643,4145,2.017,3.618,1
57,1424,3785,3.642,4.077,1
58,328,6985,2.590,5.130,1
59,2364,6138,1.372,5.131,1
60,2824,5431,-1.000,0.021,0
61,1972,3922,1.761,3.916,1
62,6023,4264,-1.000,0.030,0
63,2592,7015,2.203,3.944,1
64,2041,4411,4.911,5.210,1
65,3944,2005,2.595,3.732,1
66,1024,2153,1.020,5.110,1
67,5830,1201,7.705,3.610,1
68,541,113,1.084,3.656,1
69,7172,3077,2.861,5.184,1
70,5612,2869,1.742,3.610,1
71,1444,2133,8.746,4.906,1
72,40,102,0.766,3.439,1
73,5926,1445,1.624,3.609,1
74,5137,5170,3.922,5.081,1
75,5298,5742,8.715,5.002,1
76,5605,4404,5.164,3.607,1
77,538,6732,3.280,3.604,1
78,2605,4732,1.505,5.174,1
79,842,6649,0.852,3.234,1
80,6273,6178,1.426,4.737,1
81,4530,3266,2.247,3.343,1
82,2404,693,-1.000,0.022,0
83,461,2695,2.435,3.486,1
84,2260,4861,2.817,3.438,1
85,2363,4839,3.194,5.130,1
86,5302,4297,2.507,4.450,1
87,4633,1996,3.640,3.378,1
88,6448,4079,8.085,3.369,1
89,3432,2783,2.619,4.650,1
90,869,7062,2.891,3.301,1
91,5183,6169,-1.000,0.045,0
92,5529,5245,3.704,5.313,1
93,4079,1715,2.686,3.362,1
94,5603,1861,2.305,3.557,1
95,3588,293,2.958,3.429,1
96,3799,5165,1.427,4.816,1
97,3107,805,3.265,4.988,1
98,184,3193,1.834,3.484,1
99,784,1466,-1.000,3.477,0
